index,param,value
747,side_detector_distance,0
748,map,10
748,traffic_density,10
748,side_detector_distance,0
750,map,10
750,traffic_density,10
750,side_detector_distance,0
754,map,10
754,traffic_density,10
754,side_detector_distance,0
756,map,10
756,traffic_density,10
756,side_detector_distance,0
757,map,10
757,traffic_density,10
757,side_detector_distance,0
758,map,10
758,traffic_density,10
758,side_detector_distance,0
760,map,10
760,traffic_density,10
760,side_detector_distance,0
761,map,10
761,traffic_density,10
761,side_detector_distance,0
762,map,10
762,traffic_density,10
762,side_detector_distance,0
768,map,10
768,traffic_density,10
768,side_detector_distance,0
770,map,10
770,traffic_density,10
770,side_detector_distance,0
771,map,10
771,traffic_density,10
771,side_detector_distance,0
772,map,10
772,traffic_density,10
772,side_detector_distance,0
773,map,10
773,traffic_density,10
773,side_detector_distance,0
774,map,10
774,traffic_density,10
774,side_detector_distance,0
775,map,10
775,traffic_density,10
775,side_detector_distance,0
779,map,8
779,traffic_density,10
779,side_detector_distance,0
780,map,10
780,traffic_density,10
780,side_detector_distance,0
781,map,10
781,traffic_density,10
781,side_detector_distance,0
782,map,10
782,traffic_density,10
782,side_detector_distance,0
783,map,10
783,traffic_density,10
783,side_detector_distance,0
785,map,10
785,traffic_density,10
785,side_detector_distance,0
790,map,10
790,traffic_density,10
790,side_detector_distance,0
796,map,10
796,traffic_density,10
796,side_detector_distance,0
798,map,10
798,traffic_density,10
798,side_detector_distance,0
799,map,10
799,traffic_density,10
799,side_detector_distance,0
805,map,10
805,traffic_density,10
805,side_detector_distance,0
809,map,10
809,traffic_density,10
809,side_detector_distance,0
812,map,10
812,traffic_density,10
812,side_detector_distance,8
814,map,10
814,traffic_density,10
814,side_detector_distance,0
815,map,10
815,traffic_density,10
815,side_detector_distance,0
816,map,10
816,traffic_density,10
816,side_detector_distance,0
817,map,10
817,traffic_density,10
817,side_detector_distance,0
819,map,10
819,traffic_density,10
819,side_detector_distance,0
821,map,10
821,traffic_density,10
821,side_detector_distance,0
822,map,10
822,traffic_density,10
822,side_detector_distance,0
825,map,10
825,traffic_density,10
825,side_detector_distance,0
826,map,10
826,traffic_density,10
826,side_detector_distance,0
828,map,10
828,traffic_density,10
828,side_detector_distance,0
830,map,10
830,traffic_density,10
830,side_detector_distance,0
834,map,10
834,traffic_density,10
834,side_detector_distance,0
835,map,10
835,traffic_density,10
835,side_detector_distance,0
836,map,10
